Date,AccountValue
2024-10-14,10000
2024-10-15,10000
2024-10-16,10000
2024-10-17,10002
2024-10-18,10011
2024-10-21,10009
2024-10-22,9981.98
2024-10-23,9958.02
2024-10-24,9930.14
2024-10-25,9918.22
2024-10-28,9920.2
2024-10-29,9896.39
2024-10-30,9891.44
2024-10-31,9873.64
2024-11-01,10869.69
2024-11-04,10831.65
2024-11-05,10838.15
2024-11-06,10936.78
2024-11-07,11111.77
2024-11-08,11118.44
2024-11-11,11179.59
2024-11-12,11223.19
2024-11-13,11220.95
2024-11-14,11201.68
2024-11-15,11177.04
2024-11-18,11161.39
2024-11-19,11187.06
2024-11-20,11188.18
2024-11-21,11203.84
2024-11-22,11311.4
2024-11-25,11415.46
2024-11-26,11444
2024-11-27,11416.53
2024-11-28,11357.16
2024-11-29,11362.84
2024-12-02,12415.11
2024-12-03,12470.98
2024-12-04,12473.47
2024-12-05,12462.24
2024-12-06,12426.1
2024-12-09,12433.56
2024-12-10,12355.23
2024-12-11,12345.35
2024-12-12,12376.21
2024-12-13,12377.45
2024-12-16,12387.14
2024-12-17,12321.49
2024-12-18,12224.15
2024-12-19,12088.46
2024-12-20,12110.22
2024-12-23,12188.94
2024-12-24,12227.94
2024-12-25,12227.94
2024-12-26,12231.61
2024-12-27,12221.82
2024-12-30,12214.49
2024-12-31,12171.74
2025-01-01,13171.74
2025-01-02,13186.23
2025-01-03,13286.45
2025-01-06,13322.32
2025-01-07,13303.67
2025-01-08,13266.42
2025-01-09,13338.06
2025-01-10,13339.39
2025-01-13,13280.7
2025-01-14,13333.61
2025-01-15,13380.28
2025-01-16,13494.01
2025-01-17,13560.13
2025-01-20,13632
2025-01-21,13636.09
2025-01-22,13681.09
2025-01-23,13689.3
2025-01-24,13683.82
2025-01-27,13557.93
2025-01-28,13570.13
2025-01-29,13606.77
2025-01-30,13605.41
2025-01-31,13669.36
2025-02-03,14624.25
2025-02-04,14619.86
2025-02-05,14581.85
2025-02-06,14679.55
2025-02-07,14747.08
2025-02-10,14711.69
2025-02-11,14745.53
2025-02-12,14717.51
2025-02-13,14686.6
2025-02-14,14714.26
2025-02-17,14689.25
2025-02-18,14705.41
2025-02-19,14721.59
2025-02-20,14700.98
2025-02-21,14615.71
2025-02-24,14509.02
2025-02-25,14466.94
2025-02-26,14459.71
2025-02-27,14414.88
2025-02-28,14365.87
2025-03-03,15413.28
2025-03-04,15246.82
2025-03-05,15127.89
2025-03-06,15109.74
2025-03-07,15016.06
2025-03-10,14959
2025-03-11,14783.98
2025-03-12,14671.62
2025-03-13,14636.41
2025-03-14,14633.24
2025-03-17,14697.63
2025-03-18,14806.39
2025-03-19,14821.2
2025-03-20,14881.97
2025-03-21,14868.58
2025-03-24,14925.08
2025-03-25,15002.69
2025-03-26,14990.69
2025-03-27,14953.21
2025-03-28,14841.06
2025-03-31,14723.82
2025-04-01,15762.1
2025-04-02,15796.78
2025-04-03,15657.77
2025-04-04,15170.81
2025-04-07,14738.44
2025-04-08,14675.06
2025-04-09,14745.5
2025-04-10,15145.1
2025-04-11,15001.22
2025-04-14,15006.97
2025-04-15,15061
2025-04-16,14982.68
2025-04-17,14906.27
2025-04-18,14906.27
2025-04-21,14897.33
2025-04-22,14919.68
